Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Art movement (product.metafields.shopify.art-movement),Art style (product.metafields.shopify.art-style),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Display mode (product.metafields.shopify.display-mode),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Numeral style (product.metafields.shopify.numeral-style),Orientation (product.metafields.shopify.orientation),Painting medium (product.metafields.shopify.painting-medium),Rarity (product.metafields.shopify.rarity),Shape (product.metafields.shopify.shape),Stand/Display type (product.metafields.shopify.stand-display-type),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dineaura-modern-wall-clock,DineAura – Modern Wall Clock,"<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""></div>
</div>
<div class=""flex shrink-0 items-center""></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Add a unique blend of creativity and functionality to your space with this designer wall clock.</span></p>
<p><span>Inspired by a balanced and structured arrangement, this piece brings a distinctive visual rhythm that instantly enhances your decor. Its clean circular form combined with thoughtfully placed elements creates a striking and memorable look.</span></p>
<p><span>Perfect for modern interiors, this clock is not just a timepiece but a statement addition that elevates everyday spaces.<br></span></p>
<ul data-start=""1082"" data-end=""1266"">
<li data-section-id=""10lkxnk"" data-start=""1082"" data-end=""1136"">Unique structured design with balanced composition</li>
<li data-section-id=""ow2h0u"" data-start=""1137"" data-end=""1179"">Modern aesthetic with a creative theme</li>
<li data-section-id=""2d4w2c"" data-start=""1180"" data-end=""1230"">Perfect combination of decor and functionality</li>
<li data-section-id=""1lbgjt"" data-start=""1231"" data-end=""1266"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"contemporary decor, creative wall clock, designer clock, dining room decor, home decor, home decor clock, kitchen wall clock, modern wall clock, statement wall piece, wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1699,2209,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T171910.202.jpg?v=1777375157,1,,false,,,,,,,black,,analog,,wood,index-markers,,,,round,wall-mounted,,,kg,,,active
dineaura-modern-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T172136.523.jpg?v=1777375305,2,,,,,,,,,,,,,,,,,,,,,,,,,
fluttera-time-elegant-wall-clock,Fluttera Time – Elegant Wall Clock,"<p class=""isSelectedEnd""><span>Bring a sense of lightness and elegance to your space with this beautifully crafted wall clock.</span></p>
<p class=""isSelectedEnd""><span>Designed with a clean circular form and enhanced by delicate, free-flowing elements, this piece creates a soft and graceful visual effect. The balanced composition adds charm and movement, making it a perfect addition to refined interiors.</span></p>
<p><span>More than just a timepiece, this clock serves as an elegant decor accent that elevates your surroundings effortlessly.<br></span></p>
<ul data-start=""1105"" data-end=""1290"">
<li data-section-id=""1rd3he3"" data-start=""1105"" data-end=""1161"">Elegant and airy design with flowing visual elements</li>
<li data-section-id=""42yx9z"" data-start=""1162"" data-end=""1209"">Clean round structure with modern aesthetic</li>
<li data-section-id=""zw3fd8"" data-start=""1210"" data-end=""1254"">Perfect blend of decor and functionality</li>
<li data-section-id=""1lbgjt"" data-start=""1255"" data-end=""1290"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"aesthetic wall decor, arabic calligraphy, bedroom decor, contemporary wall clock, designer wall clock, elegant wall clock, gift decor, home decor, home decor clock, islamic calligraphy, living room decor, minimul, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T102338.863.jpg?v=1777350303,1,,false,,,,,,,black,,analog,,wood,other,,,,round,wall-mounted,,,kg,,,active
fluttera-time-elegant-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T102444.084.jpg?v=1777350322,2,,,,,,,,,,,,,,,,,,,,,,,,,
aurex-time-signature-wall-clock,Aurex Time – Signature Wall Clock,"<div class=""group relative clear-both my-4 w-full overflow-visible"">
<div id=""writing-block-63681b3f-1bfb-4ac8-8c67-ada55e843435"" class=""relative w-full overflow-clip rounded-[24px] bg-token-bg-primary dark:bg-[#2a2a2a] shadow-[0px_4px_80px_rgba(0,0,0,0.02)]"" data-writing-block=""true"" data-testid=""writing-block-container"">
<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""><br></div>
</div>
<div class=""flex shrink-0 items-center""><br></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Introduce a refined sense of structure and elegance to your space with this premium wall clock.</span></p>
<p><span>Designed with a unique balance of geometric elements and flowing form, this piece creates a sophisticated visual composition that stands out effortlessly. Its clean lines and modern structure bring depth and character, making it more than just a functional timepiece.</span></p>
<p><span>Perfect for contemporary interiors, this clock serves as a signature decor element that elevates any setting with subtle luxury.<br></span></p>
<ul>
<li data-section-id=""4y5lvq"" data-start=""1173"" data-end=""1226"">Premium asymmetrical design with modern structure</li>
<li data-section-id=""ouerta"" data-start=""1227"" data-end=""1277"">Unique blend of geometric and flowing elements</li>
<li data-section-id=""pnzqug"" data-start=""1278"" data-end=""1327"">Elegant statement piece for refined interiors</li>
<li data-section-id=""1lbgjt"" data-start=""1328"" data-end=""1363"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>
<div aria-hidden=""true"" class=""pointer-events-none absolute inset-0 z-2 rounded-[24px] shadow-[inset_0px_0px_0px_1px_rgba(0,0,0,0.07)]""><br></div>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"contemporary wall decor, designer wall clock, elegant wall clock, home decor clock, interior design decor, luxury wall decor, modern wall clock, premium wall clock, statement wall piece, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599.00,2079.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T094251.317.jpg?v=1777347855,1,,false,,,,,,,black,,analog,,wood,index-markers,,,,round,wall-mounted,,,kg,,,active
aurex-time-signature-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T094413.428.jpg?v=1777347867,2,,,,,,,,,,,,,,,,,,,,,,,,,
aviara-time-designer-wall-clock,Aviara Time – Designer Wall Clock,"<p class=""isSelectedEnd""><span>Add a touch of elegance and movement to your space with this beautifully designed wall clock.</span></p>
<p class=""isSelectedEnd""><span>Crafted with a clean circular form and enhanced by flowing artistic elements, the design creates a sense of balance and visual harmony. Its modern aesthetic makes it a perfect addition to any refined interior.</span></p>
<p><span>More than just a timepiece, this clock serves as a graceful decor statement that elevates your surroundings.<br></span></p>
<ul data-start=""943"" data-end=""1134"">
<li data-section-id=""h1kobn"" data-start=""943"" data-end=""997"">Elegant and flowing design with artistic detailing</li>
<li data-section-id=""1ti1wy3"" data-start=""998"" data-end=""1053"">Modern circular structure with balanced composition</li>
<li data-section-id=""vofrik"" data-start=""1054"" data-end=""1098"">Perfect blend of functionality and decor</li>
<li data-section-id=""1lbgjt"" data-start=""1099"" data-end=""1134"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, abstract wall decor, artistic wall clock, contemporary clock, contemporary wall clock, designer clock, designer wall clock, elegant wall decor, futuristic wall clock, living room clock, minimal clock, minimal wall clock, modern wall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1799.00,2339.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-05-01T173137.151.jpg?v=1777635120,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,round,wall-mounted,,,kg,,,active
aviara-time-designer-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T092353.150.jpg?v=1777346661,2,,,,,,,,,,,,,,,,,,,,,,,,,
structura-x-abstract-wall-clock,Structura X – Abstract Wall Clock,"<div class=""group relative clear-both my-4 w-full overflow-visible"">
<div id=""writing-block-a7158d94-4f54-44b1-bd9e-3600a9263ce0"" class=""relative w-full overflow-clip rounded-[24px] bg-token-bg-primary dark:bg-[#2a2a2a] shadow-[0px_4px_80px_rgba(0,0,0,0.02)]"" data-writing-block=""true"" data-testid=""writing-block-container"">
<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""><br></div>
</div>
<div class=""flex shrink-0 items-center""><br></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Redefine modern decor with this bold and unconventional wall clock design.</span></p>
<p><span>Built around a compact central dial, dynamic lines extend outward in varying directions, creating a raw and architectural composition. The open, frameless structure gives the clock a sense of motion and depth, making your wall part of the design itself.</span></p>
<p><span>Perfect for contemporary spaces, this piece is more than a clock — it’s a statement of creativity, structure, and individuality.<br></span></p>
<ul data-start=""1195"" data-end=""1392"">
<li data-section-id=""9i3rfq"" data-start=""1195"" data-end=""1260"">Abstract free-form line design with architectural inspiration</li>
<li data-section-id=""111fn9w"" data-start=""1261"" data-end=""1314"">Open frameless structure for a bold visual impact</li>
<li data-section-id=""y4vwb4"" data-start=""1315"" data-end=""1356"">Dynamic mix of thin and bold elements</li>
<li data-section-id=""1lbgjt"" data-start=""1357"" data-end=""1392"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>
<div aria-hidden=""true"" class=""pointer-events-none absolute inset-0 z-2 rounded-[24px] shadow-[inset_0px_0px_0px_1px_rgba(0,0,0,0.07)]""><br></div>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, artistic wall clock, contemporary clock, contemporary wall clock, designer clock, designer wall clock, geometric wall clock, hollow design clock, living room clock, minimal clock, minimal wall clock, modern wall clock, roundwall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T040117.045.jpg?v=1777327359,1,,false,,,,,,,black,,analog,,wood,index-markers,,,,round,wall-mounted,,,kg,,,active
structura-x-abstract-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T040220.727.jpg?v=1777327535,2,,,,,,,,,,,,,,,,,,,,,,,,,
elevora-time-3d-pillar-wall-clock,Elevora Time – 3D Pillar Wall Clock,"<p class=""isSelectedEnd""><span>Add a sense of depth and dimension to your space with this uniquely crafted wall clock.</span></p>
<p class=""isSelectedEnd""><span>Designed with a central dial that appears recessed, thin strips extend outward and gradually transform into bold structures, elevating the numeric elements at their tips. This layered design creates a striking 3D visual effect, making the clock stand out from every angle.</span></p>
<p><span>Perfect for modern interiors, this clock combines innovative design with everyday functionality, turning time into a bold statement.<br></span></p>
<ul data-start=""1113"" data-end=""1296"">
<li data-section-id=""y838cf"" data-start=""1113"" data-end=""1167"">Unique 3D pillar-inspired design with depth effect</li>
<li data-section-id=""1hlukc2"" data-start=""1168"" data-end=""1224"">Elevated numeric elements for a bold visual presence</li>
<li data-section-id=""1mhgyeg"" data-start=""1225"" data-end=""1260"">Modern and futuristic aesthetic</li>
<li data-section-id=""1lbgjt"" data-start=""1261"" data-end=""1296"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"3d wall clock, artistic wall clock, contemporary wall decor, designer clock, futuristic wall clock, home decor clock, living room decor, modern wall clock, statement wall piece, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T033853.121.jpg?v=1777325997,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,round,wall-mounted,,,kg,,,active
elevora-time-3d-pillar-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T033949.001.jpg?v=1777326014,2,,,,,,,,,,,,,,,,,,,,,,,,,
overlap-time-abstract-wall-clock,Overlap Time – Abstract Wall Clock,"<p class=""isSelectedEnd""><span>Make a bold artistic statement with this uniquely designed wall clock.</span></p>
<p class=""isSelectedEnd""><span>Featuring a clean round structure with creatively overlapping numeric elements, the design adds depth and visual intrigue. The partially intersecting numbers create a layered effect, turning a simple timepiece into an eye-catching decor element.</span></p>
<p><span>Perfect for modern interiors, this clock blends functionality with abstract design for a truly distinctive look.<br></span></p>
<ul data-start=""1022"" data-end=""1214"">
<li data-section-id=""1arzddq"" data-start=""1022"" data-end=""1078"">Unique overlapping number design with layered effect</li>
<li data-section-id=""juro12"" data-start=""1079"" data-end=""1128"">Modern abstract aesthetic for statement decor</li>
<li data-section-id=""5zytze"" data-start=""1129"" data-end=""1178"">Clean round structure with artistic detailing</li>
<li data-section-id=""1lbgjt"" data-start=""1179"" data-end=""1214"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, aesthetic wall decor, artistic wall decor, contemporary wall clock, designer clock, home decor clock, living room decor, modern wall clock, statement wall piece, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign_99.jpg?v=1777324817,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,round,wall-mounted,,,kg,,,active
overlap-time-abstract-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_100.jpg?v=1777324829,2,,,,,,,,,,,,,,,,,,,,,,,,,
quadratime-geometric-wall-clock,QuadraTime – Geometric Wall Clock,"<p class=""isSelectedEnd""><span>Bring a bold geometric statement to your wall with this uniquely structured clock design.</span></p>
<p class=""isSelectedEnd""><span>Featuring layered square frames arranged around a central dial, each element highlights key time markers in a balanced and creative composition. The offset placement of numbers adds depth and visual interest, making it more than just a timepiece.</span></p>
<p><span>Perfect for modern interiors, this clock blends structure with artistic expression to create a striking focal point.<br></span></p>
<ul data-start=""1049"" data-end=""1245"">
<li data-section-id=""k1kl4q"" data-start=""1049"" data-end=""1105"">Layered square frame design with geometric structure</li>
<li data-section-id=""1agis48"" data-start=""1106"" data-end=""1159"">Creative placement of numeric elements (12–9–6–3)</li>
<li data-section-id=""fo8qjs"" data-start=""1160"" data-end=""1209"">Modern and bold aesthetic for statement decor</li>
<li data-section-id=""1lbgjt"" data-start=""1210"" data-end=""1245"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"artistic wall clock, contemporary decor, designer clock, geometric wall clock, home decor clock, living room clock, modern wall clock, square wall clock, statement wall decor, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign_97.jpg?v=1777323672,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,square,wall-mounted,,,kg,,,active
quadratime-geometric-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_98.jpg?v=1777323684,2,,,,,,,,,,,,,,,,,,,,,,,,,
sacred-time-trio-islamic-wall-clock-set,Sacred Time Trio – Islamic Wall Clock Set,"<div class=""group relative clear-both my-4 w-full overflow-visible"">
<div id=""writing-block-21c6c80d-7ded-45f9-a2dd-a29455034c72"" class=""relative w-full overflow-clip rounded-[24px] bg-token-bg-primary dark:bg-[#2a2a2a] shadow-[0px_4px_80px_rgba(0,0,0,0.02)]"" data-writing-block=""true"" data-testid=""writing-block-container"">
<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""><br></div>
</div>
<div class=""flex shrink-0 items-center""><br></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Enhance your space with a meaningful blend of time and faith through this elegant 3-panel Islamic wall clock set.</span></p>
<p><span>The central frame features a clean clock design with bold numeric cutouts, while the side panels showcase the names of Allah and Muhammad (ﷺ), creating a balanced and harmonious composition. Together, the set reflects both functionality and spiritual presence.</span></p>
<p><span>Perfect for homes seeking a refined and peaceful atmosphere, this piece serves as both decor and a reminder of faith.<br></span></p>
<ul data-start=""1130"" data-end=""1343"">
<li data-section-id=""1gk3ja3"" data-start=""1130"" data-end=""1195"">3-panel design with central clock and side calligraphy frames</li>
<li data-section-id=""1bxv8jk"" data-start=""1196"" data-end=""1251"">Elegant Islamic aesthetic with balanced composition</li>
<li data-section-id=""tzi3fs"" data-start=""1252"" data-end=""1307"">Functional timepiece combined with meaningful decor</li>
<li data-section-id=""1lbgjt"" data-start=""1308"" data-end=""1343"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>
<div aria-hidden=""true"" class=""pointer-events-none absolute inset-0 z-2 rounded-[24px] shadow-[inset_0px_0px_0px_1px_rgba(0,0,0,0.07)]""><br></div>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"3 piece wall art, allah muhammad wall art, islamic decor, islamic wall clock, living room decor, modern islamic wall art, muslim home decor, quranic decor, spiritual home decor, wall clock set",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 10 by 16,,,,,,0.0,shopify,0,continue,manual,1649,2144,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign_95.jpg?v=1777322531,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,rectangular,wall-mounted,,,kg,,,active
sacred-time-trio-islamic-wall-clock-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_96.jpg?v=1777322543,2,,,,,,,,,,,,,,,,,,,,,,,,,
lineachron-minimal-ring-wall-clock,LineaChron – Minimal Ring Wall Clock,"<div class=""group relative clear-both my-4 w-full overflow-visible"">
<div id=""writing-block-8af19710-182a-48b4-83df-5daf0464ce42"" class=""relative w-full overflow-clip rounded-[24px] bg-token-bg-primary dark:bg-[#2a2a2a] shadow-[0px_4px_80px_rgba(0,0,0,0.02)]"" data-writing-block=""true"" data-testid=""writing-block-container"">
<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""><br></div>
</div>
<div class=""flex shrink-0 items-center""><br></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Elevate your space with the beauty of simplicity through this ultra-minimal wall clock.</span></p>
<p><span>Featuring a compact central dial surrounded by delicate, thin circular rings with subtle Roman markings, the design creates a floating effect against your wall. Its open structure allows the background to become part of the aesthetic, offering a clean and modern visual experience.</span></p>
<p><span>Perfect for minimalist interiors, this clock blends precision with elegance, making it a refined statement piece.<br></span></p>
<ul data-start=""1057"" data-end=""1251"">
<li data-section-id=""97qkiu"" data-start=""1057"" data-end=""1112"">Ultra-minimal thin ring design with floating effect</li>
<li data-section-id=""171knax"" data-start=""1113"" data-end=""1166"">Subtle Roman numeral detailing for a refined look</li>
<li data-section-id=""rzgpeb"" data-start=""1167"" data-end=""1215"">Open structure allowing full wall visibility</li>
<li data-section-id=""1lbgjt"" data-start=""1216"" data-end=""1251"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>
<div aria-hidden=""true"" class=""pointer-events-none absolute inset-0 z-2 rounded-[24px] shadow-[inset_0px_0px_0px_1px_rgba(0,0,0,0.07)]""><br></div>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"aesthetic wall decor, contemporary wall clock, designer clock, home decor clock, minimal wall clock, minimalist decor, modern wall clock, roman numeral clock, thin frame clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign_93_ace26c30-419c-4241-b301-06c5e2dc580b.jpg?v=1777321574,1,,false,,,,,,,black,,analog,,wood,roman-numerals,,,,round,wall-mounted,,,kg,,,active
lineachron-minimal-ring-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_94.jpg?v=1777320654,2,,,,,,,,,,,,,,,,,,,,,,,,,
frametick-minimal-square-wall-clock,FrameTick – Minimal Square wall clock,"<div class=""group relative clear-both my-4 w-full overflow-visible"">
<div id=""writing-block-63161443-b009-41a7-8980-de7672adb71e"" class=""relative w-full overflow-clip rounded-[24px] bg-token-bg-primary dark:bg-[#2a2a2a] shadow-[0px_4px_80px_rgba(0,0,0,0.02)]"" data-writing-block=""true"" data-testid=""writing-block-container"">
<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""><br></div>
</div>
<div class=""flex shrink-0 items-center""><br></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Add a bold architectural touch to your space with this modern square wall clock.</span></p>
<p><span>Featuring a clean outer frame and a centered inner square dial, the design stands out with oversized numeric elements that connect seamlessly across the structure. The open, hollow layout allows your wall to become part of the design, creating a striking visual effect.</span></p>
<p><span>Perfect for contemporary interiors, this clock combines minimalism with a strong statement presence.<br></span></p>
<ul>
<li data-section-id=""kklpv8"" data-start=""1024"" data-end=""1075"">Unique hollow square design with open structure</li>
<li data-section-id=""1vnqlq"" data-start=""1076"" data-end=""1132"">Oversized numeric elements integrated into the frame</li>
<li data-section-id=""69yvsq"" data-start=""1133"" data-end=""1167"">Modern architectural aesthetic</li>
<li data-section-id=""1lbgjt"" data-start=""1168"" data-end=""1203"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>
<div aria-hidden=""true"" class=""pointer-events-none absolute inset-0 z-2 rounded-[24px] shadow-[inset_0px_0px_0px_1px_rgba(0,0,0,0.07)]""><br></div>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"contemporary decor, designer wall clock, hollow design clock, living room clock, minimal wall clock, modern wall clock, square wall clock, statement wall decor, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign_91.jpg?v=1777297299,1,,false,,,,,,,black,,analog,,wood,arabic-numerals,,,,square,wall-mounted,,,kg,,,active
